label,text
1,一一一丁一一一一 一乀一一一一一一 乀一一一一一一一 一一一一丁一一一 一一一丁一一一一 丠乀一一一一一一 一一一丐一一一一 一一丠一丠一一一 一丐一一丈一一一 一一一丠一一一一 一一一一一一一一 一一乀一一一一一 一丨一一一一一一 一一一一一一一一 一一一一一一一一 一一一一丠一一一
0,一一一一一丠一一 一一一一一丠一一 一一一一一亀一一 一一一一一乀一一 一一一一一一丈一 一一乂一一一丁一 一一一一一一丄一 一亀丐一一一丂一 一一一一一乀一一 一一一一一丐一一 一一一一一丄一一 一一一一亀一一一 一一一一丠一一一 一一一一丈一一一 一一一乀一一一一 一一一一丁一一一
0,一乀一一一丁一一 一一丁一亀一一一 一一丄一乀一一一 一一丐一一丂一一 一一亀一一丄一一 一一丐一一一一一 一一一丂一丁一一 一一丐一一一一一 一一丈一乀丄一一 一一丂一一一一一 一一丈一丐丂一一 一乀一一亀丁一一 一亀一一一丂一一 一一丈一一一一一 一丠一一亀一一一 一一丈一一一一一
1,一乀丁一一一一一 一一乀一一一丄一 一一丰一一一一一 一一乀一一一一一 一一丠一一一一一 一一乀一一一一一 亠一丠一一亀丈一 亀乀丁一一一一一 乀一一一一一一一 乀一一一一亀丄一 一一一一一亀一一 乐亀一一乐一一一 一一一一一丐一一 丠一一一一丐一一 一一丐一一一一一 一乐一一一一一一
0,一亀丂一一一一一 一一一一一亐一一 一丐一一一一一一 一一一一一両一一 亀一一一一一一一 一一一一亀丐一一 一亀丈一一乀一一 一乀丈一一亀一一 一一一一一一丁一 一一一一一乀一一 一一一一一亀一一 一一一一一丠一一 一乀丈一一亀一一 一亀丈一一乀一一 一一一一一亀一一 一一一一一丠一一
1,一丐丈一一一一一 一一丈一一一一一 一一丈一丈一一一 一一丈一一一一一 一一丈一一一一一 一丐一一一一一一 一丐丈一一一一一 一丈丈一一一一一 一丈丈一一一一一 一丐一一一一一一 乜一一一什七一一 一习一一一一一一 一一丨一一一一一 一一丐一一一一一 一一丠一一一一一 一一丐一一一一一
0,一一一一一丠一一 一一一一一丂一一 一一丈一一丁一一 一一一一亀一一一 一一一一乀一一一 一一丐一亀一一一 一一一一一丂一一 一一一一丠一一一 一一丂一一一一一 一一一一乀一一一 一一一一丐一一一 一一丄一丠一一一 一一一一亀一一一 一一一一丠一一一 一亀一一丠一一一 一一一一亀一一一
1,一一一亀一一一一 一亀一丁一丈一一 一一一亀一一一一 丄丐乀一丐一一一 一丂丈一丂一一一 一一丄一一一一一 丆一一一丐一一一 一一一一一一一一 一一一一一丈一一 一一一一一丈一一 丂一一一一一一一 一一一一一一一一 一一一一一一一一 丂一一一一一一一 丈一丐一一一一一 丈丠一一丠一一一
0,一一乀一一丁一一 一一一一一丂一一 一一丂一一丄一一 一一乀一一丈一一 一一丁一一丐一一 一一一一一乀一一 一乀一一一亀一一 一一丠一一丐一一 一一乀一一丈一一 一一一丁一一一一 一一一丂一一一一 一一一一丈亄一一 一一一一丐丠一一 一一一一亀丐一一 一一一一乀丈一一 一一一一丠丐一一
1,一一一一井上一一 一一一一亀一一一 一一乀一一丁一一 一一亀一一一一一 一一一一一一一一 一一一亀一一一一 丠一一一一一一一 一一一一一乀丂一 亠七一一一丁一一 一一亀一亀丁丐一 一一一一一一丄一 一一一一一亠一一 一一什一丂乀一一 亠丂一一丁一一一 一一乀一一一一一 丠丂亀一一一一一
